04-01-2021,Himachal Pradesh,52912,944,55686
04-01-2021,Jammu and Kashmir,116792,1886,121653
04-01-2021,Jharkhand,112893,1035,115529
04-01-2021,Karnataka,898919,12107,921938
04-01-2021,Kerala,707244,3141,775852
04-01-2021,Lakshadweep,0,0,0
04-01-2021,Ladakh,9173,127,9556
04-01-2021,Madhya Pradesh,231533,3641,244026
04-01-2021,Maharashtra,1836999,49666,1942136
04-01-2021,Manipur,26815,358,28281
04-01-2021,Meghalaya,13186,139,13460
04-01-2021,Mizoram,4127,8,4223
04-01-2021,Nagaland,11673,79,11930
04-01-2021,Odisha,326209,1883,330309
04-01-2021,Puducherry,37233,633,38224
04-01-2021,Punjab,158482,5376,167219
04-01-2021,Rajasthan,298620,2710,309821
04-01-2021,Sikkim,5285,129,5920
04-01-2021,Tamil Nadu,800429,12156,820712
04-01-2021,Telengana,281083,1551,287740
04-01-2021,Tripura,32815,385,33283
04-01-2021,Uttarakhand,85908,1527,91811
04-01-2021,Uttar Pradesh,566910,8403,588171
04-01-2021,West Bengal,534737,9792,554975
05-01-2021,Andhra Pradesh,873149,7118,883210
05-01-2021,Andaman and Nicobar Islands,4848,62,4948
05-01-2021,Arunachal Pradesh,16598,56,16741
05-01-2021,Assam,212199,1054,216340
05-01-2021,Bihar,247484,1408,253272
05-01-2021,Chandigarh,19348,321,19936
05-01-2021,Chhattisgarh,270337,3412,283515
05-01-2021,Dadra and Nagar Haveli and Daman and Diu,3369,2,3379
05-01-2021,Delhi,611970,10597,627256
05-01-2021,Goa,49741,743,51335
05-01-2021,Gujarat,234558,4321,247926
05-01-2021,Haryana,257652,2923,263312
05-01-2021,Himachal Pradesh,53216,946,55808
05-01-2021,Jammu and Kashmir,117211,1891,121786
05-01-2021,Jharkhand,113125,1036,115689
05-01-2021,Karnataka,900202,12110,922538
05-01-2021,Kerala,712389,3160,778873
05-01-2021,Lakshadweep,0,0,0
05-01-2021,Ladakh,9194,127,9561
05-01-2021,Madhya Pradesh,232390,3648,244647
05-01-2021,Maharashtra,1847361,49695,1947011
05-01-2021,Manipur,26862,361,28332
05-01-2021,Meghalaya,13204,139,13482
05-01-2021,Mizoram,4147,8,4234
05-01-2021,Nagaland,11683,79,11935
05-01-2021,Odisha,326507,1885,330492
05-01-2021,Puducherry,37261,635,38253
05-01-2021,Punjab,158972,5400,167441
05-01-2021,Rajasthan,299375,2714,310278
05-01-2021,Sikkim,5307,129,5921
05-01-2021,Tamil Nadu,801414,12166,821550
05-01-2021,Telengana,281400,1554,287993
05-01-2021,Tripura,32826,385,33284
05-01-2021,Uttarakhand,86611,1535,92112
05-01-2021,Uttar Pradesh,567964,8413,588882
05-01-2021,West Bengal,536084,9817,555572
06-01-2021,Andhra Pradesh,873427,7122,883587
06-01-2021,Andaman and Nicobar Islands,4856,62,4949
06-01-2021,Arunachal Pradesh,16609,56,16744
06-01-2021,Assam,212249,1057,216381
06-01-2021,Bihar,247929,1415,253695
06-01-2021,Chandigarh,19464,322,20026
06-01-2021,Chhattisgarh,271988,3437,284536
06-01-2021,Dadra and Nagar Haveli and Daman and Diu,3370,2,3379
06-01-2021,Delhi,612527,10609,627698
06-01-2021,Goa,49811,744,51415
06-01-2021,Gujarat,235426,4325,248581
06-01-2021,Haryana,257952,2927,263571
06-01-2021,Himachal Pradesh,53523,948,55910
06-01-2021,Jammu and Kashmir,117426,1897,121923
06-01-2021,Jharkhand,113380,1038,115840
06-01-2021,Karnataka,901579,12118,923353
06-01-2021,Kerala,717311,3184,784488
06-01-2021,Lakshadweep,0,0,0
06-01-2021,Ladakh,9215,127,9577
06-01-2021,Madhya Pradesh,233229,3662,245318
06-01-2021,Maharashtra,1850189,49759,1950171
06-01-2021,Manipur,27613,363,28418
06-01-2021,Meghalaya,13216,141,13506
06-01-2021,Mizoram,4153,8,4247
06-01-2021,Nagaland,11714,79,11937
06-01-2021,Odisha,326778,1887,330690
06-01-2021,Puducherry,37292,635,38300
06-01-2021,Punjab,159265,5404,167652
06-01-2021,Rajasthan,300126,2719,310675
06-01-2021,Sikkim,5316,129,5938
06-01-2021,Tamil Nadu,802385,12177,822370
06-01-2021,Telengana,281872,1556,288410
06-01-2021,Tripura,32835,387,33286
06-01-2021,Uttarakhand,87105,1544,92366
06-01-2021,Uttar Pradesh,568892,8433,589611
06-01-2021,West Bengal,537250,9841,556384
07-01-2021,Andhra Pradesh,873855,7125,883876
07-01-2021,Andaman and Nicobar Islands,4859,62,4949
07-01-2021,Arunachal Pradesh,16609,56,16753
07-01-2021,Assam,212328,1057,216424
07-01-2021,Bihar,248410,1420,254014
07-01-2021,Chandigarh,19525,323,20104
07-01-2021,Chhattisgarh,273030,3447,285586
07-01-2021,Dadra and Nagar Haveli and Daman and Diu,3372,2,3379
07-01-2021,Delhi,613246,10625,628352
07-01-2021,Goa,49893,744,51507
07-01-2021,Gujarat,236323,4329,249246
07-01-2021,Haryana,258281,2934,263887
07-01-2021,Himachal Pradesh,53782,952,56015
07-01-2021,Jammu and Kashmir,117690,1900,122049
07-01-2021,Jharkhand,113545,1040,116034
07-01-2021,Karnataka,902817,12124,924137
07-01-2021,Kerala,722421,3209,790882
07-01-2021,Lakshadweep,0,0,0
07-01-2021,Ladakh,9243,127,9589
07-01-2021,Madhya Pradesh,233862,3670,246048
07-01-2021,Maharashtra,1852759,49825,1954553
07-01-2021,Manipur,27642,363,28484
07-01-2021,Meghalaya,13230,141,13525
07-01-2021,Mizoram,4160,8,4256
07-01-2021,Nagaland,11737,80,11954
07-01-2021,Odisha,327008,1887,330921
07-01-2021,Puducherry,37327,635,38334
07-01-2021,Punjab,159500,5412,167910
07-01-2021,Rajasthan,300690,2723,311111
07-01-2021,Sikkim,5358,129,5951
07-01-2021,Tamil Nadu,803328,12188,823181
07-01-2021,Telengana,282177,1559,288789
07-01-2021,Tripura,32843,387,33294
07-01-2021,Uttarakhand,87529,1549,92593
07-01-2021,Uttar Pradesh,569959,8441,590339
07-01-2021,West Bengal,538521,9863,557252
08-01-2021,Andhra Pradesh,874223,7126,884171
08-01-2021,Andaman and Nicobar Islands,4864,62,4958
08-01-2021,Arunachal Pradesh,16622,56,16757
08-01-2021,Assam,212376,1059,216481
08-01-2021,Bihar,248762,1424,254447
08-01-2021,Chandigarh,19582,325,20147
08-01-2021,Chhattisgarh,274283,3454,286596
08-01-2021,Dadra and Nagar Haveli and Daman and Diu,3372,2,3379
08-01-2021,Delhi,614026,10644,628838
08-01-2021,Goa,49983,744,51626
08-01-2021,Gujarat,237222,4332,249913
08-01-2021,Haryana,258658,2940,264161
08-01-2021,Himachal Pradesh,53973,953,56146
08-01-2021,Jammu and Kashmir,117877,1903,122176
08-01-2021,Jharkhand,113740,1041,116229
08-01-2021,Karnataka,903629,12131,924898
08-01-2021,Kerala,728060,3234,795933
08-01-2021,Lakshadweep,0,0,0
08-01-2021,Ladakh,9258,127,9600
08-01-2021,Madhya Pradesh,234612,3682,246822
08-01-2021,Maharashtra,1856109,49897,1958282
08-01-2021,Manipur,27677,364,28531
08-01-2021,Meghalaya,13257,141,13536
08-01-2021,Mizoram,4172,8,4259
08-01-2021,Nagaland,11747,82,11960
08-01-2021,Odisha,327290,1888,331151
08-01-2021,Puducherry,37374,636,38369
08-01-2021,Punjab,159790,5422,168187
08-01-2021,Rajasthan,301425,2727,311620
08-01-2021,Sikkim,5371,129,5965
08-01-2021,Tamil Nadu,804239,12200,823986
08-01-2021,Telengana,282574,1561,289135
08-01-2021,Tripura,32852,388,33299
08-01-2021,Uttarakhand,87978,1555,92842
08-01-2021,Uttar Pradesh,570605,8452,590844
08-01-2021,West Bengal,539816,9881,558173
09-01-2021,Andhra Pradesh,874531,7127,884490
09-01-2021,Andaman and Nicobar Islands,4866,62,4959
09-01-2021,Arunachal Pradesh,16631,56,16764
09-01-2021,Assam,212430,1059,216531
09-01-2021,Bihar,249198,1428,254701
09-01-2021,Chandigarh,19637,326,20201
09-01-2021,Chhattisgarh,275042,3469,287556
09-01-2021,Dadra and Nagar Haveli and Daman and Diu,3373,2,3380
09-01-2021,Delhi,614849,10654,629282
09-01-2021,Goa,50088,744,51709
09-01-2021,Gujarat,238114,4335,250598
09-01-2021,Haryana,258998,2943,264442
09-01-2021,Himachal Pradesh,54145,955,56282
09-01-2021,Jammu and Kashmir,118155,1907,122303
09-01-2021,Jharkhand,113928,1043,116436
09-01-2021,Karnataka,904286,12134,925868
09-01-2021,Kerala,733384,3257,801075
09-01-2021,Lakshadweep,0,0,0
09-01-2021,Ladakh,9271,127,9601
09-01-2021,Madhya Pradesh,235421,3691,247436
09-01-2021,Maharashtra,1858999,49970,1961975
09-01-2021,Manipur,27735,364,28579
09-01-2021,Meghalaya,13262,143,13560
09-01-2021,Mizoram,4185,8,4275
09-01-2021,Nagaland,11752,83,11964
09-01-2021,Odisha,327534,1890,331396
09-01-2021,Puducherry,37410,636,38389
09-01-2021,Punjab,160042,5437,168486
09-01-2021,Rajasthan,301962,2727,312091
09-01-2021,Sikkim,5457,129,5979
09-01-2021,Tamil Nadu,805136,12208,824776
09-01-2021,Telengana,283048,1563,289433
09-01-2021,Tripura,32854,388,33302
09-01-2021,Uttarakhand,88370,1562,93111
09-01-2021,Uttar Pradesh,571606,8469,591610
09-01-2021,West Bengal,540952,9902,559099
10-01-2021,Andhra Pradesh,874954,7128,884689
10-01-2021,Andaman and Nicobar Islands,4873,62,4959
10-01-2021,Arunachal Pradesh,16647,56,16767
10-01-2021,Assam,212486,1060,216565
10-01-2021,Bihar,249709,1430,255386
10-01-2021,Chandigarh,19696,327,20251
10-01-2021,Chhattisgarh,275812,3484,288570
10-01-2021,Dadra and Nagar Haveli and Daman and Diu,3374,2,3380
10-01-2021,Delhi,615452,10666,629801
10-01-2021,Goa,50177,746,51790
10-01-2021,Gujarat,238965,4340,251273
10-01-2021,Haryana,259209,2949,264721
10-01-2021,Himachal Pradesh,54320,958,56366
10-01-2021,Jammu and Kashmir,118422,1909,122425
10-01-2021,Jharkhand,114133,1045,116672
10-01-2021,Karnataka,905158,12138,926767
10-01-2021,Kerala,738808,3279,806603
10-01-2021,Lakshadweep,0,0,0
10-01-2021,Ladakh,9278,127,9608
10-01-2021,Madhya Pradesh,236247,3701,247977
10-01-2021,Maharashtra,1861400,50027,1965556
10-01-2021,Manipur,27766,365,28646
10-01-2021,Meghalaya,13286,143,13592
10-01-2021,Mizoram,4186,8,4292
10-01-2021,Nagaland,11778,84,11975
10-01-2021,Odisha,327803,1891,331602
10-01-2021,Puducherry,37461,636,38425
10-01-2021,Punjab,160343,5439,168734
10-01-2021,Rajasthan,303060,2731,312521
10-01-2021,Sikkim,5486,129,5984
10-01-2021,Tamil Nadu,806018,12215,825537
10-01-2021,Telengana,283463,1565,289784
10-01-2021,Tripura,32862,388,33307
10-01-2021,Uttarakhand,88615,1568,93398
10-01-2021,Uttar Pradesh,572773,8481,592475
10-01-2021,West Bengal,541930,9922,559886
11-01-2021,Andhra Pradesh,875243,7129,884916
11-01-2021,Andaman and Nicobar Islands,4875,62,4960
11-01-2021,Arunachal Pradesh,16650,56,16772
11-01-2021,Assam,212515,1061,216590
11-01-2021,Bihar,250088,1434,255700
11-01-2021,Chandigarh,19727,327,20295
11-01-2021,Chhattisgarh,276774,3490,289231
11-01-2021,Dadra and Nagar Haveli and Daman and Diu,3376,2,3380
11-01-2021,Delhi,616054,10678,630200
11-01-2021,Goa,50277,747,51856
11-01-2021,Gujarat,239771,4344,251944
11-01-2021,Haryana,259495,2950,264955
11-01-2021,Himachal Pradesh,54522,959,56452
11-01-2021,Jammu and Kashmir,118617,1910,122538
11-01-2021,Jharkhand,114302,1047,116817
11-01-2021,Karnataka,905751,12140,927559
11-01-2021,Kerala,743467,3302,811148
11-01-2021,Lakshadweep,0,0,0
11-01-2021,Ladakh,9294,127,9618
11-01-2021,Madhya Pradesh,237063,3711,248597
11-01-2021,Maharashtra,1863702,50061,1969114
11-01-2021,Manipur,27805,365,28660
11-01-2021,Meghalaya,13313,143,13611
11-01-2021,Mizoram,4192,9,4293
11-01-2021,Nagaland,11778,84,11978
11-01-2021,Odisha,328043,1891,331862
11-01-2021,Puducherry,37501,638,38455
11-01-2021,Punjab,160655,5445,169033
11-01-2021,Rajasthan,303536,2734,312996
11-01-2021,Sikkim,5508,129,5988
11-01-2021,Tamil Nadu,806875,12222,826261
11-01-2021,Telengana,283924,1566,290008
11-01-2021,Tripura,32869,388,33307
11-01-2021,Uttarakhand,88918,1573,93621
11-01-2021,Uttar Pradesh,573542,8495,593171
11-01-2021,West Bengal,542887,9941,560709
12-01-2021,Andhra Pradesh,875456,7131,885037
12-01-2021,Andaman and Nicobar Islands,4884,62,4963
12-01-2021,Arunachal Pradesh,16658,56,16777
12-01-2021,Assam,212579,1064,216635
12-01-2021,Bihar,250439,1439,255932
12-01-2021,Chandigarh,19756,327,20342
12-01-2021,Chhattisgarh,278029,3505,290084
12-01-2021,Dadra and Nagar Haveli and Daman and Diu,3376,2,3382
12-01-2021,Delhi,616461,10691,630506
12-01-2021,Goa,50343,749,51891
12-01-2021,Gujarat,240517,4347,252559
12-01-2021,Haryana,259696,2956,265199
12-01-2021,Himachal Pradesh,54686,961,56521
12-01-2021,Jammu and Kashmir,118972,1911,122651
12-01-2021,Jharkhand,114531,1048,116961
12-01-2021,Karnataka,906548,12144,928055
12-01-2021,Kerala,747389,3322,814258
12-01-2021,Lakshadweep,0,0,0
12-01-2021,Ladakh,9311,127,9621
12-01-2021,Madhya Pradesh,237713,3718,249082
12-01-2021,Maharashtra,1867988,50101,1971552
12-01-2021,Manipur,27851,365,28693
12-01-2021,Meghalaya,13337,143,13631
12-01-2021,Mizoram,4194,9,4299
12-01-2021,Nagaland,11795,84,11987
12-01-2021,Odisha,328271,1892,332106
12-01-2021,Puducherry,37535,638,38477
12-01-2021,Punjab,160920,5447,169225
12-01-2021,Rajasthan,304104,2736,313425
12-01-2021,Sikkim,5538,129,5989
12-01-2021,Tamil Nadu,807744,12228,826943
12-01-2021,Telengana,284217,1568,290309
12-01-2021,Tripura,32872,388,33309
12-01-2021,Uttarakhand,89446,1578,93777
12-01-2021,Uttar Pradesh,574312,8504,593680
12-01-2021,West Bengal,543826,9957,561321
13-01-2021,Andhra Pradesh,875690,7133,885234
13-01-2021,Andaman and Nicobar Islands,4886,62,4966
13-01-2021,Arunachal Pradesh,16665,56,16782
13-01-2021,Assam,212632,1064,216690
13-01-2021,Bihar,250632,1443,256309
13-01-2021,Chandigarh,19780,328,20378
13-01-2021,Chhattisgarh,279236,3517,290813
13-01-2021,Dadra and Nagar Haveli and Daman and Diu,3376,2,3382
13-01-2021,Delhi,617006,10707,630892
13-01-2021,Goa,50437,749,51983
13-01-2021,Gujarat,241372,4350,253161
13-01-2021,Haryana,259986,2964,265391
13-01-2021,Himachal Pradesh,54825,961,56596
13-01-2021,Jammu and Kashmir,119170,1912,122764
13-01-2021,Jharkhand,114684,1048,117088
13-01-2021,Karnataka,907729,12149,928806
13-01-2021,Kerala,751659,3347,819765
13-01-2021,Lakshadweep,0,0,0
13-01-2021,Ladakh,9326,128,9634
13-01-2021,Madhya Pradesh,238328,3726,249553
13-01-2021,Maharashtra,1871270,50151,1974488
13-01-2021,Manipur,27879,365,28725
13-01-2021,Meghalaya,13356,143,13651
13-01-2021,Mizoram,4200,9,4303
13-01-2021,Nagaland,11807,84,11997
13-01-2021,Odisha,328452,1894,332331
13-01-2021,Puducherry,37563,639,38495
13-01-2021,Punjab,161235,5456,169479
13-01-2021,Rajasthan,304779,2739,313718
13-01-2021,Sikkim,5554,129,5996
13-01-2021,Tamil Nadu,808571,12236,827614
13-01-2021,Telengana,284611,1571,290640
13-01-2021,Tripura,32880,389,33315
13-01-2021,Uttarakhand,89729,1589,93961
13-01-2021,Uttar Pradesh,575101,8514,594175
13-01-2021,West Bengal,544705,9975,562072
14-01-2021,Andhra Pradesh,875921,7134,885437
14-01-2021,Andaman and Nicobar Islands,4891,62,4969
14-01-2021,Arunachal Pradesh,16669,56,16783
14-01-2021,Assam,212675,1065,216743
14-01-2021,Bihar,251027,1445,256587
14-01-2021,Chandigarh,19794,329,20415
14-01-2021,Chhattisgarh,280166,3527,291484
14-01-2021,Dadra and Nagar Haveli and Daman and Diu,3377,2,3383
14-01-2021,Delhi,617540,10718,631249
14-01-2021,Goa,50515,750,52079
14-01-2021,Gujarat,242164,4354,253744
14-01-2021,Haryana,260236,2966,265616
14-01-2021,Himachal Pradesh,54896,963,56689
14-01-2021,Jammu and Kashmir,119344,1912,122885
14-01-2021,Jharkhand,114836,1048,117240
14-01-2021,Karnataka,908494,12152,929552
14-01-2021,Kerala,756817,3373,825769
14-01-2021,Lakshadweep,0,0,0
14-01-2021,Ladakh,9375,128,9639
14-01-2021,Madhya Pradesh,238983,3732,250009
14-01-2021,Maharashtra,1874279,50221,1978044
14-01-2021,Manipur,27935,365,28769
14-01-2021,Meghalaya,13365,144,13669
14-01-2021,Mizoram,4200,9,4310
14-01-2021,Nagaland,11814,86,12003
14-01-2021,Odisha,328622,1895,332541
14-01-2021,Puducherry,37607,639,38524
14-01-2021,Punjab,161457,5463,169737
14-01-2021,Rajasthan,305569,2742,314091
14-01-2021,Sikkim,5564,129,6004
14-01-2021,Tamil Nadu,809392,12242,828287
14-01-2021,Telengana,284849,1572,290916
14-01-2021,Tripura,32886,389,33320
14-01-2021,Uttarakhand,90025,1593,94170
14-01-2021,Uttar Pradesh,575980,8529,594641
14-01-2021,West Bengal,545499,9993,562795
15-01-2021,Andhra Pradesh,876140,7138,885616
15-01-2021,Andaman and Nicobar Islands,4891,62,4976
15-01-2021,Arunachal Pradesh,16674,56,16798
15-01-2021,Assam,212706,1065,216762
15-01-2021,Bihar,251278,1447,256895
15-01-2021,Chandigarh,19835,330,20438
15-01-2021,Chhattisgarh,281136,3537,292091
15-01-2021,Dadra and Nagar Haveli and Daman and Diu,3377,2,3385
15-01-2021,Delhi,617930,10722,631589
15-01-2021,Goa,50582,752,52182
15-01-2021,Gujarat,242901,4357,254314
15-01-2021,Haryana,260565,2972,265803
15-01-2021,Himachal Pradesh,54977,963,56751
15-01-2021,Jammu and Kashmir,119581,1915,122964
15-01-2021,Jharkhand,115009,1048,117384
15-01-2021,Karnataka,909058,12155,929960
15-01-2021,Kerala,761154,3392,831259
15-01-2021,Lakshadweep,0,0,0
15-01-2021,Ladakh,9404,128,9646
15-01-2021,Madhya Pradesh,239581,3740,250429
15-01-2021,Maharashtra,1877588,50291,1981623
15-01-2021,Manipur,27976,365,28787
15-01-2021,Meghalaya,13382,144,13687
15-01-2021,Mizoram,4205,9,4310
15-01-2021,Nagaland,11825,86,12035
15-01-2021,Odisha,328832,1896,332763
15-01-2021,Puducherry,37629,640,38567
15-01-2021,Punjab,161710,5473,169950
15-01-2021,Rajasthan,305953,2744,314372
15-01-2021,Sikkim,5719,130,6011
15-01-2021,Tamil Nadu,810218,12246,828952
15-01-2021,Telengana,285102,1574,291118
15-01-2021,Tripura,32890,390,33325
15-01-2021,Uttarakhand,90218,1596,94324
15-01-2021,Uttar Pradesh,576519,8543,595142
15-01-2021,West Bengal,546193,10010,563475
16-01-2021,Andhra Pradesh,876372,7139,885710
16-01-2021,Andaman and Nicobar Islands,4895,62,4979
16-01-2021,Arunachal Pradesh,16682,56,16802
16-01-2021,Assam,212748,1066,216777
16-01-2021,Bihar,251632,1449,257193
16-01-2021,Chandigarh,19868,330,20464
16-01-2021,Chhattisgarh,282145,3544,292612
16-01-2021,Dadra and Nagar Haveli and Daman and Diu,3377,2,3388
16-01-2021,Delhi,618357,10732,631884
16-01-2021,Goa,50643,753,52262
16-01-2021,Gujarat,243639,4360,254849
16-01-2021,Haryana,260801,2979,265964
16-01-2021,Himachal Pradesh,55072,963,56802
16-01-2021,Jammu and Kashmir,119760,1920,123108
16-01-2021,Jharkhand,115142,1049,117480
16-01-2021,Karnataka,909701,12158,930668
16-01-2021,Kerala,765757,3415,836883
16-01-2021,Lakshadweep,0,0,0
16-01-2021,Ladakh,9416,128,9648
16-01-2021,Madhya Pradesh,240155,3746,250858
16-01-2021,Maharashtra,1881088,50336,1984768
16-01-2021,Manipur,28010,365,28811
16-01-2021,Meghalaya,13386,144,13691
16-01-2021,Mizoram,4225,9,4314
16-01-2021,Nagaland,11847,88,12039
16-01-2021,Odisha,329088,1898,332949
16-01-2021,Puducherry,37661,640,38595
16-01-2021,Punjab,161967,5485,170191
16-01-2021,Rajasthan,306330,2744,314682
16-01-2021,Sikkim,5731,130,6024
16-01-2021,Tamil Nadu,811023,12251,829573
16-01-2021,Telengana,285519,1575,291367
16-01-2021,Tripura,32897,391,33329
16-01-2021,Uttarakhand,90457,1602,94465
16-01-2021,Uttar Pradesh,577475,8558,595614
16-01-2021,West Bengal,546849,10026,564098
17-01-2021,Andhra Pradesh,876698,7139,885824
17-01-2021,Andaman and Nicobar Islands,4895,62,4982
17-01-2021,Arunachal Pradesh,16690,56,16808
17-01-2021,Assam,212809,1070,216809
17-01-2021,Bihar,251975,1453,257474
17-01-2021,Chandigarh,19935,330,20503
17-01-2021,Chhattisgarh,282760,3551,293178
17-01-2021,Dadra and Nagar Haveli and Daman and Diu,3377,2,3388
17-01-2021,Delhi,618754,10738,632183
17-01-2021,Goa,50712,756,52345
17-01-2021,Gujarat,244403,4363,255354
17-01-2021,Haryana,261019,2983,266131
17-01-2021,Himachal Pradesh,55154,964,56873
17-01-2021,Jammu and Kashmir,120016,1921,123217
17-01-2021,Jharkhand,115300,1050,117599
17-01-2021,Karnataka,910377,12162,931252
17-01-2021,Kerala,770768,3442,842843
17-01-2021,Lakshadweep,0,0,0
17-01-2021,Ladakh,9428,128,9649
17-01-2021,Madhya Pradesh,240948,3751,251223
17-01-2021,Maharashtra,1884127,50388,1987678
17-01-2021,Manipur,28089,366,28835
17-01-2021,Meghalaya,13401,144,13693
17-01-2021,Mizoram,4228,9,4322
17-01-2021,Nagaland,11849,88,12054
17-01-2021,Odisha,329318,1899,333127
17-01-2021,Puducherry,37683,642,38611
17-01-2021,Punjab,162289,5499,170366
17-01-2021,Rajasthan,306888,2746,314920
17-01-2021,Sikkim,5741,130,6029
17-01-2021,Tamil Nadu,811798,12257,830183
